IDNRK,LIFNR,ORT01
BD12301300,신아금속,화성시
BD11522800,동화지업사,강원도 원주시
BD11609400,General Motors Company : Payer,Detroit Michigan
BC39100500,[Mail] Mando India,Bangalore
BD21208100,Tdscusupd3,Gandhinagar
BD23200700,Sold To 생성 0523_1_1,경기도 성남시
BD23300400,Gm_Korea_Oem,인천광역시
BD29101200,Kookmin Bank New York,New York
K301581,Pakt Sp. Z O.O.,Walbrzych
BD21403900,[Mga] Georgia Brake Plant,Usa
BD21704441,Ford Lincoln Cbg,Dummy
BD31418000,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
BD31208900,[Mnc] Ningbo Plant,Ningbo
BD31306400,Mmt,인천광역시
3BD4119,"Matlab, Inc.",Asheboro
BD33119502,No Com,Test
BD33607900,Test Fi Customer Msb,경기도 성남시
BD33707900,Sbl Moters,서울특별시
BD41202700,Gm_Modatek_Oem,Ontario
K302634,코우산업,평택시
BD41302700,Mcm_Gmtest,Ramos Arizpe Coah
BD41500300,농협은행 양재지점,서울특별시
BD51202300,태성포리텍,익산시
BD51400100,Gm Ecuador_As(Sp),Quito
BD56204640,Kia Hwaseong Oem,Hwaseong-Si
BD56304640,이요찬 Bp,서울특별시
BD56403640,Gm_Indonesia_De,Pondok Ungu Bekasi West Java Ind
BM11047000,Gm_Thai(Krw)_De(Sp),Thailand
BM110A3100,Mmt,인천광역시
BM12204400,Sold To 생성 0523_1_2,경기도 성남시
BM151A1600,Gmk_Korea_De,인천광역시
BM11133600,Test Company234567890,Adress1
BM110A310055,(주)만도 Test_Hdk,경기도 성남시
BM11137900,Bolim1,인천광역시
BM12118200,키움증권,서울특별시
BM33200100,교통은행 서울지점,서울특별시
BM341A5500,Hyundai Glovis,서울특별시
BM331A3200,대화은행 서울지점,서울특별시
BM34505500,[Mca] Alabama Brake Plant,Usa
BM346A1600,Hyundai Motor Beijing Bill-To(Payer,Beijing
K302657,한화생명보험,서울특별시
K302658,Cho_Customer_02,Frankfurt
GE50010A03,인게이지,평택시
GM406J2200,Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
K302393,Mce_Gm,Ellesmere Port
GM404B2100,Mai_Ashley Alteams India Limit,Chn
GM406J2500,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
K301903,삼성화재해상보험,서울특별시
BH45003300,[Mbc] Mando Beijing,Beijing
BH72101100,중국은행,서울특별시
BH72200900,삼성생명보험,서울특별시
MDTJMRP012-1,Majab33,Walbrzych
MDTJMRP011,Gm_Korea_Oem,인천광역시
GJ701A1401,[Mga] Georgia Brake Plant,Usa
GJ766A1901,[Mcp] Walbrzych Suspension Plant,Walbrzych
GJ701A1411,대경엔지니어링_박용수,경기 부천시
GZ811B5811,Gm_Brazil_De,Pr  Brazil
GJ701A1412,Mdk_Gmdat,경상남도 창원시
GZ811B5812,케이엠텍,원주시
GL70066701,Customer_Lee,Walbrzych
GL93518200,Mcp_Customer_Shaun_01,Wabrzych
GS90000200,다이나캐스트코리아,경기도 안양시
GU80040300,병화,천안시
GM401H5000,대성전기공업,안산시
GM401R1400,Cs Sub Vendor 03,City
GU800R0000,Mdm_Testsoldto222233333,서울특별시
GM406J2400,P15871,Pangyo
GP27027400,Hmma_Aai_Oem,Test
GP27703900,우리은행,서울특별시
GP28709600,Asd,서울특별시
GP96332500,신동성,원주시
K301154,[Mga] Georgia Casting Plant,Georgia
K301528,Ford_Brazil_De,Sao Paulo - Sp -Cep  Brasil
K301797,센트랄,경상남도 창원시
K302001,Gm_Cis_De,Moscow Russia
K302368,제이디테크,경상남도 창원시
K302401,ㅣBillto,서울특별시
K302402,코우산업,평택시
K302454,Mcm.Fordpr,Hermosillo
K302511,[Mca] Alabama Brake Plant,Usa
GP20163400,[Mcp] Mando Poland,Walbrzych
GP27027500,Gm_Mexico_De,Mexico
GP27027600,Youngshin Automotive India Private,Chennai
GP96332200,Jawor_02,Walbrzych
GP20185700,Igs Schreiner Gmbh,Hamburg
GP25048200,Korea Development Bank,New York
GP25048300,Iryna_1111,Walbrzych
GP27053600,ㄴShipto,서울특별시
GP27053700,Gmk-Cny_Korea_De,인천광역시
GP27824900,한성테크,익산시
GP27825900,Gm_Thailand_Oem,Pluakdaeng Rayong
GP28607100,Mdk_Gm,Uz  Uzbekistan
GP28712300,(주)만도 테스트 220329,경기도 성남시
GP28936700,Hkmc_Korea_De,서울특별시
GP28936800,[Mail] Chennai Casting Plant,Chengalpattu Kanchipuram
GP95400300,삼성에스 Iacc Tets,경기도 성남시
GP963A4101,Mbccus01,Beijing
K301319,Ford Werke Gmbh_(Koeln Usd)_Oem,Koeln Germany
K302278,Mdm_Testsoldto222233333,서울특별시
GE655A2700,Gm_Colombia_De,Bogota Dc Sur America Colombia
GM406A6800,롯데정보통신 Billto,경기 용인시
GQ600A1300,성진피앤티,인천광역시
GQ862A1100,독일 고객,City
GQ870A1100,Customer_Iza,Walbrzych
GZ231A1500,Mcm_Gm1.2,Ramos Arizpe Coah
GZ811D2300,Hyundai Motor Beijing,Beijing
GU824A6700,Gm Ecuador_As(Sp),Quito
GU825A3001,중소기업은행,서울특별시
SH21000733,Sh Electonics India Pvt Ltd-Plant I,Chennai
SH22000419,Mando Corporation Pyeongtaek,Pyeongtaek-Si Gyenggi-Do Korea
SH230A1401,Gm_Oshawa_De,Ontario
SH280A1501,Sri Jayalakshmi Industries-Chennai,Chennai
SH284A1101,Sh Electonics India Pvt Ltd-Plant I,Chennai
SU27100201-K,Gm_Mexico_De(Sp),Ramos Arizpe
SZ20103424,디에스,시흥시
SZ400C4401,Taeyang Metal India Pvt Ltd-Chennai,Ahmed Nagar
SH21000759,Mdk_Bmw,Munchen Deutschland
SZ20103447,Hmma_Mobis(Rdc)_As,Montgomery
SZ920A0306,Hyundai Motor Jeonju Ckd,Wanju-Gun
SH200A2704Z1,성진포머,대구광역시
SZ31003701,Dariacustomer,Walbrzych
SZ32008301,Mdm_Testsubcontracting,충남 공주시
SZ434A3801,[Mail] Mando India,Bangalore
SZ442A3301,Gm Motor_Usa_De,Mi Usa
SH310C5501,Chrysler_Dana Va Chesapeake_Oem,Detroit United States
SH330C3501,Test_Customer,Pangyo
SH380A2401,삼성증권,서울특별시
SZ20104930,광덕에이앤티,인천광역시
SZ400C3201,Gm_Navistar_Oem,Springfield  United States
SZ920A5731,한국수출입은행,서울특별시
SH310C5505,Patkrz1907,Walbrzych
SH320C2303,Customer_Lee_01,Frankfurt
SZ920A5732,동화지업사,강원도 원주시
SH320C2304,Gm_India(Krw)_De,Maharashtra India
SH330C3505,Ccangtong,서울특별시
SU360C1406,[Mtc] Tianjin Casting Plant,City
SH330C3510,Gm Ecuador_As(Sp),Quito
SU360C1411,Chrysler_Warren_Oem,Warren United States
SZ920A6535,삼성에스디에스 물류법인(Im),경기도 성남시
SH330C3511,Xyz Pvt Ltd,Mumbai
SZ920A6536,하나은행 판교지점,경기도 성남시
SH300D0501,한라정공,인천광역시
SZ920B3407,Cs Sub Vendor,City
SH300D0502,Chrysler_Mobis_Oem,Detroit United States
SK210C4308,Foreign Customer,Bloomington
SK22001335,Ford_Flat Rock_Oem,Mi  United States
SK230A0110,신영증권,서울특별시
SK260A0144,Gm Motors_Mexico_ De,De Mxico
SK28400501,Hyundai Polytech America Inc.,Eufaula
ST27100401,한라정공,인천광역시
SZ20103360,Ap Warehouse ( Sakthi Traders ),Bangalore-Hyderabad Highway Ananta
SZ405A1601,Mbc_Bhmc/Dyk_De,Beijing
SK210C4307,미쓰이스미토모은행 서울지점,서울특별시
SK22001345,Soldto Test,서울특별시
SK22500101,Sold To 06_22_0,경기도 성남시
SK230A0130,인팩_충주,충주시
SZ920A7886,광덕에이앤티,인천광역시
SK230A0131,에스에이치로드제일차 주식회사,서울특별시
SK410A3125,삼익키리우,대구광역시
SK420A2101,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
SK480A1401,대구은행,대구광역시
SZ201A0104,Gm_Cis_De,Moscow Russia
SZ342A1202,에스씨엘,충청남도
SK410A3126,Mkdc S.A. De C.V.,Arteaga Coahuila Mexico
SK410A3143,Chrysler_Mopar_As,City
SK430C1908,Jawor_02,Walbrzych
SK460C1707,Gm_Thailand_As,Bang-Pra-In Ayutthaya
SK410A3144,Gm_Brazil_De,Spbrazil
SK430C1911,우영유압,인천광역시
SK460C1710,Mga_Chrysler,Warren United States
SK410A3158,Gm_Colombia(Krw)_De,Bogota Dc Sur America Colombia
SK430C1913,Ford Espania Sl_Oem,Valencia Hiszpania
SK460C1712,Gmsa_De,South Africa
SK410A3160,새론오토모티브,천안시
SK410A3161,롯데정보통신 Billto,경기 용인시
SK430C1912,한국산업은행 압구정지점,서울특별시
SK460C1711,Gm_Ellesmere Port_Oem,Chesire
SK410A3162,Ford Espania Sl_Oem,Valencia Hiszpania
SK410A3163,Hyundai Motor Beijing,Beijing
SK460C1713,Kia Hwaseong Bill-To(Payer),Hwaseong-Si
SK410A3164,Sold-To Test Customer,제주특별자치도 제주시
SK410A0801,Bmw_Ag,Munchen
SK420A0202,[Mca] Mando America,Usa
SK430C1331,Hyundae Polytech Mexico S. De R.L.,Www
SK460D0201,[Msc] Suzhou Steering Plant,Suzhou
SK47100401,Kasia_Jaworska1,Walbrzych
SK48400901,Kia Kwangju Oem,광주광역시
SK485A2201,Hyundai Motor Asan Plant,Asan-Si
SZ20101734,Chrysler_Mobis_Oem,Detroit United States
SZ920B3401,Asd,경기도 성남시
SK410A0802,Test Supplier,충청북도
SZ920B3402,Renault Samsung Motor,부산광역시
SL42000322,Ford_Flat Rock_Oem,Mi  United States
SL44000703,Sold To 생성 0523_1_1,경기도 성남시
SL400A0601,Customer_Lee_01,Frankfurt
SZ434A0101,안남테크,인천광역시
SZ444A4203,Mcm_Canoo_Torrance_Usa_Oem,Ca  United States
SP30003801,Pnc Bank,Birmingham
SZ40202201,No Com,Test
SZ43101901,새론오토모티브,천안시
SP30003802,Lufapak Gmbh_As,Euwied
SP30003803,Comerica Bank,Ann Arbor
SP30003804,Mbccus01,Beijing
SP30003806,Gm_Cami Autrans_Oem,Ingersol Canada
SP30003808,Hyundai Motor Ulsan 2Nd Plant,울산광역시
SP30004001,엔에이치투자증권 광화문금융센터,서울특별시
SZ36007001,General Motors Company : Ship To,Detroit Michigan
SP30004002,Alabama Plating Technology Llc,Lanett
SP30005001,Anna041293,Walbrzych
SK22500201,Tdscusupd2,Udaipur
SV310A2201,현대글로비스_아산,123-123
SV320A1503,Ford_India_De,Tn In
SV330A1120,Bank Of America Leasing & Capital-K,Los Angeles
SV34002204,Youngshin Automotive India Private,Chennai
SV350A1107,삼성생명보험,서울특별시
SV360A1419,한성테크,익산시
SV371A1201,에스엠티코리아리미티드,안성시
SV380A1301,Ford_Master_As,Illionis
SV37100701,Int 주소 미생성 확인 테스트,경기도 성남시
SV310A2202,엔에이치투자증권,서울특별시
SV310A2211,Mbc_Gm,Usa
SV34002213,X164910,City
SV360A1432,한국산업은행,서울특별시
SV310A2212,안남테크,인천광역시
SV310A2220,Mga_Hmma,Test
SV330A1132,Delta,Swidnica
SV34002224,노무라금융투자,서울특별시
SV360A1440,"Matlab, Inc.",Asheboro
SV34002201,Gm_Ramos_Oem,Coach
SV36000607,Wells Fargo Bank N.A.,San Francisco
SV410A1113,Gm_Oshawa_De,Ontario
SV410A1114,Hmma_Mobis(Al)_Oem,Montgomery
SV410A1117,Ford Werke Gmbh_(Koeln Usd)_Oem,Koeln Germany
SV410A1119,Tata Motors Passenger Vehicles Limi,Chikhali Pune
SV410A1125,제이피모간체이스은행 서울지점,서울특별시
SV34002212,Mdk_Sgm_De,Shanghichina
SV410A1127,Gm_Mexico_De(Sp),Ramos Arizpe
SV410A1128,Hyundai Mobis,울산광역시
SV410A1129,Gm_Mexico_De(Sp),Ramos Arizpe
SV410A1130,동성정밀엘엑스,원주시
SV34002220,Hmma_Al_Oem,Montgomery
SV410A1133,케이엠텍,원주시
SM220A2402,Crown Technologies Plant Ii,Ahmed Nagar
SV400C1224,성진포머,대구광역시
SZ30003602,Mai_Ashley Alteams India Limit,Chn
SM220A2401,교보증권,서울특별시
SV400C1225,Reiner Sp. Z O.O.,Miekinia
SV400C1227,에스엠티코리아리미티드,안성시
SV400C1228,Hyundai Motor Ulsan 4Th Plant,울산광역시
SV400C1229,Sold To 06_22_0,경기도 성남시
SV400C1243,농협은행 안중지점,경기도 평택시
SV400C1244,Hundai,Banglore
BH6013AI50,국민은행 대기업금융센터,서울특별시
BH9003AI00,[Mcc] Chongqing Plant,Chongqing
BH9003Y000,Mdm_Testsoldto222233333,서울특별시
BH6017BO50,Nanotech1_Ccp,Gandhinagar
BH9003AI01,케이엠텍,원주시
GM401A6800,우리은행,서울특별시
GM901A1800,Mcp_Alpina Burkard Bovensiepen,Buchloe
GU800B6400,Bmw(Eur)_De,Muenchen Germany
GZ811A7300,Weco,서울특별시
CNGU800B9800,Hma Industries Private Limited-Irru,Chennai
GM492A2700,Chrysler,California
GM405H7000,Gm_Lordstown_Oem,Detroit Mi
GM405H7100,케이엠텍,원주시
GU820C5190Z1,Citibank N.A.,Philadelphia
GU830C5190Z1,Mcm_Gmtest,Ramos Arizpe Coah
GU820C5196,Gmdat_Korea_De,Gunsanjeonbuk
BB13000400,우영유압,인천광역시
BB16000300,Hyundai Polytech America Inc.,Eufaula
BB17000300,Msc_Bhmc/Dyk_De,Suzhou New District
BB30046500,우리은행,서울특별시
BB64001100,케이비증권,서울특별시
BM47009700,Mcp_Customer_Shaun_01,Wabrzych
BB64000700,Ford_Europe_De,Germany
BB13000300,Gme_German_De,Russelsheim Germany
BB30068500,X10054,City
BB696A1800,Hyundai Mobis Bill-To(Payer),서울특별시
BM10073300,Ford_Na_De,Dearborn Mi  Us
BC12022610,Citibank Fsb,New Castle
BC30206600,Hyundai Motor Manufacturing Alabama,Montgomery
BC36000200Z1,General Motors Company : Payer,Detroit Michigan
BC38002200,Majab3,Walbrzych
BC402B3202,[Mdk] Wonju Steering Plant,Wonju
BC45002200,Mca_Gm,Silao
BC59000900,현대차증권,서울특별시
BC63103500,신한금융투자,서울특별시
BM38001500,Tdscusupd2,Udaipur
BC12041000,Mdk_Gm,Uz  Uzbekistan
BC40600300,동일기계공업,안성시
BC403B3202,Gm_Opel_Europe(Usd)_De,Russelsheim Germany
BC12141000,Mcm_Gm1,Saltillo
BC40700300,Hyundai Motors Korea,서울특별시
BC12032800,Msy_Opel Gmbh_Germany_De,Germany
BC27002200,Milan_1907,Walbrzych
BC30210400,Ford_India_De,Tn In
BC36004800,Ford_Think_De,Detroit Mi  Usa
BC38004100,Gm_Adam Opel(Euro)_As,Herne
BC39001200,아셈텍,화성시
BC41029200,한도,천안시
BC43102100,[Mnc] Ningbo Plant,Ningbo
BC44000900Z1,Mca_Gm,Silao
BC45002500Z1,[Mbc] Mando Beijing,Beijing
BC50066200,Mdk_Gmdat,경상남도 창원시
BC54066200,Hyundai Motor Ulsan 4Th Plant,울산광역시
BC590A1300,국민은행 대기업금융센터,서울특별시
BC12032900,Msc_Gm,Mexico
BC36004900,우리은행,서울특별시
BC38003800,Ccangtong,서울특별시
BC47021000,Mdm_Testsoldto222233333,서울특별시
BC50066300,Kia Kwangju Ckd,광주광역시
BC54066300,Gm_Brazil_De(Sp),Sorocaba Sao Paulo
BC12056300,Bmw Ag Wackersdorf_Oem,Wackersdorf
BC30213300,영완,시흥시
BC36005500,롯데정보통신,서울특별시
BC41056300,Tdscusupd2,Udaipur
BC47025700,중국은행,서울특별시
BC54056300,동화지업사,강원도 원주시
BC61001700,Korea Development Bank,New York
BC12132800,주식회사조이,시흥시
BC41129200,Asd,서울특별시
BC66500100,Gm_Thailand_As,Chatujak Bangkok
BC12132900,Gm_Thailand_De,Thailand
BC41129300,Gt Oberflächen Gmbh,Heinsdorfergrund
BC12156300,Gm_Saic Usa,Birmingham Mi
BC50156300,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
BC14022600,조이테크,천안시
CNSH310A0101,Patkrz1907,Walbrzych
CNSH32100801,[Mcp] Walbrzych Plant,Poland
CNSH360C2802,Mcp_Customer_Shaun_002,Wabrzych
CNSU37100801,동성정밀엘엑스,원주시
CNSZ20101026,Weco,서울특별시
CNSZ40000501,전성,충주시
CNSZ44103101,신한정밀공업대전공장,대전광역시
SZ40006601,Ford_Brazil_De,Sao Paulo - Sp -Cep  Brasil
CNSH41000101,Asd,경기도 성남시
CNSH42100101,[Mga] Georgia Casting Plant,Georgia
CNSH47100101,[Do Not Use] --> M100-11,Address
CNSZ44104701,Dongsung Poland Sp.Z.O.O,Zarow
SH360C0120,Test2,Frankfurt
SZ43101501,화동뉴텍,원주시
CNSZ20101017,Tdscustupd1,Gandhinagar
CNSZ40000601,Hyundai Motor Beijing Bill-To(Payer,Beijing
SH310A4801,Soldto Test_22,제주특별자치도 제주시
SK360A3901,Mcp_Customer_Shaun_002,Wabrzych
SU125A1301,[Mail] Mando India,Bangalore
SU371A3101,Ford_As,Mi Oakland  Usa
SZ920A6308,Kia Hwaseong Oem,Hwaseong-Si
SZ920A6149,Sd Test 02,경기도 성남시
SZ920A9401,Gm_Ramos_Oem,Coach Mexico
SH300A2302,중국건설은행 서울지점,서울특별시
SZ31003703,Soldto Test_22,제주특별자치도 제주시
SZ437A4301,한국산업은행 압구정지점,서울특별시
SZ921A1413,Gm_Thai(Krw)_De(Sp),Thailand
SH300A2601,Gm_India(Krw)_De(Sp),Pune Maharashtra
SZ444A2601,Nanotech1_Ccp,Gandhinagar
CNSZ400C3701,한국산업은행,서울특별시
CNSZ444C1901,Gm_Android Industries_Oem,Shreveport United States
SH300A4603,Gm_Korea_Oem,인천광역시
CNSZ31000801,Kia Gwangmyeong Bill-To(Payer),Gwangmyeong-Si
SK300A2601,Volkswagen Poland,Pozna
SZ921A1411,태성포리텍,익산시
SK300A2602,Kasia 100,Walbrzych
SZ921A1412,Test Customer Msb,경기도 성남시
SK400A1601,Mdk_Gm,Uz  Uzbekistan
SK400A1602,Pnc Bank,Birmingham
CNSZ441A0101,다본오토모티브-원주공장,원주시
SZ440C6701,Test Customer Msb,경기도 성남시
SK400A2104,Gm_Bupyeong-Assembly 2,인천광역시
BC10099900,아센텍,아산시
CA81061400,Nanotech1_Tds,Gandhinagar
CB30099900,중소기업은행 강남기업금융지점,서울특별시
CD10099900,미즈호은행,서울특별시
CK11099900,Hyundai Motor Company,울산광역시
CNCA81010600,Mdk_Hmc,104-7
CNCA81028000,Standard Chartered Bank,New York
BC10199900,디에스피이엔티,아산시
CA30199900,Gm_Thai(Krw)_De(Sp),Thailand
CK11199900,Gm_Ramos_Oem,Coach
BC10266600,Majab33,Walbrzych
CB30066600,Tata Motors Passenger Vehicles Limi,Chikhali Pune
CD20066600,Cho_Customer_01,Frankfurt
CNCK20019100,Hyundai Motor Beijing Bill-To(Payer,Beijing
CB30066700,Kia Gwangmyeong Bill-To(Payer),Gwangmyeong-Si
BC10366600,현대차증권,서울특별시
CB30166600,Mce_Gm,Ellesmere Port
CNCK20119200,Gm_Trw Saginaw_Oem,Saginaw
SK300A5001,Ford_Na_De,Dearborn Mi  Us
SZ310A2901,Mcp_Atlantic Integrated Freight Gmb,Germany
SZ330A6501,Mca_Gm,Silao
SZ444A5101,Bmw_M,Garching-Hochbrueck
SK300A5002,Gm_Colombia(Krw)_De,Bogota Dc Sur America Colombia
SZ330A6601,Mdm_Testshipto,Address
SK300A5004,Sold-To Test Customer,제주특별자치도 제주시
BC14041000F1,Kasia_Jaworska,Walbrzych
MDTJMRP016-1,서영정밀,화성시
MDTJMRP016-2,Raicam Industrie Srl,Manoppello
BC14056300F1,(주)만도 Test_Hdk,경기도 성남시
BC14066600F1,Hyundai Polytech America Inc.,Eufaula
BC14166600F1,신성Atc,원주시
BC41229300F1,Gm_Thai(Krw)_De,Pluakdaeng Rayong  Thailand
BC41241000F1,지엠에스,화성시
BC41256300F1,[Mbc] Beijing Brake Plant,Beijing
BC41329200F1,Sbl Moters,서울특별시
BC41329300F1,케이엠텍,원주시
BC12024902,Hyundai Mobis,서울특별시
BC30207800A0,江苏瑞尔隆鼎实业有限公司,Beijing
BC36003401,병화,천안시
BC38002200A0,Sold To 생성 0523_1_1,경기도 성남시
BC40254000,Sold To 06_22_0,경기도 성남시
BC63102600,Ford_Flat Rock_Oem,Mi  United States
BC41023504,Shipto Test_22,서울특별시
BC47014100,Chrysler_Warren_Oem,Poland
BC540A3501,화동뉴텍,원주시
BC59001400,X164910,City
BC631A3300,Patkrz1907,Walbrzych
BC402B8700,[Mga] Georgia Casting Plant,Georgia
BC631B2700,명진금속공업주식회사,안산시
BC12124902,Hylee_002,Frankfurt Am Main
BC40354000,Test_Customer,Pangyo
BC63102601,Chrysler_Dana Toledo_Oem,Toledo United States
BC501A3501,네이버,강원 춘천시
BC541A3501,Mdk_Chrysler_De,Mi Usa
BC11007400,Gm Motor_Usa_De,Mi Usa
BC24200800,Msc_Gm,Mexico
BC402B4000,General Motors Company : Ship To,Detroit Michigan
BC43101800,Gm_Holden_De(Sp),Australia
BC45002100,Hmma_Mobis(Al)_Oem,Montgomery
BC63100400,Kia Hwaseong Bill-To(Payer),Hwaseong-Si
K301767,한국스탠다드차타드은행 양재동지점,서울특별시
BC24602000,아셈텍,화성시
BC270A1100,Fdfd,경기도 성남시
BC30213200,Kia Motor Company,서울특별시
BC36005600,Test2,Frankfurt
BC402B4800,Milan_1907,Walbrzych
BC610A1101,Mcp_Alpina Burkard Bovensiepen,Buchloe
BC270A1100Z1,인팩_충주,충주시
BC403B4000,Gmm Silao Asm_Oem,Silao
BC63100401,다이나캐스트코리아,경기도 안양시
BC121A4600,Gm_Navistar_Oem,Springfield  United States
BC403B4800,주식회사조이,시흥시
BC41223501,Kia Motor Bill-To(Payer),서울특별시
BC412B5800,[Mnc] Ningbo Plant,Ningbo
GE50424Z00,Test Brazil,Test1333
GP250C4900,Taeyang Metal India Pvt Ltd-Chennai,Ahmed Nagar
GP263A2500,Dongsung Poland Sp.Z.O.O,Zarow
GP90017300,Ford_Mex_Oem,City
GP94007300,Sold To 06_22_0,경기도 성남시
GQ326A1100,Iza_Ar1 Test,Wabrzych
GX26500101,Gm_Ep_Oem,Ellesmere Port
GX620A3000,[Mail] Chennai Casting Plant,Chengalpattu Kanchipuram
GX630A3300,Fdfd,경기도 성남시
GX640A2500,광성브레이크,아산시
GX90000300,Gm_Thai(Krw)_De(Sp),Thailand
GX91600200,삼성증권,서울특별시
GX93100200,Hyundai Motor Manufacturing Alabama,Montgomery
GZ151A1500,Gmsa_De,South Africa
K302513,Chana_De,Chongqing China
SK420A0111,Gm_Dropship Kyb Android Euro_Oem,Shreveport United States
SK430A0201,만도브로제,인천광역시
SK460A0111,Customer_Dorota,Walbrzych
SZ201A0205,Mdk_Bhmc,Suzhou New District
SZ310C4001,Mdk_Sgm_De,Shanghichina
SZ920B0817,한라세라지오,City
SK418A0308,Sgm_De,Shanghichina
SZ920B0818,하이투자증권,부산광역시
SK460A0121,대구은행,대구광역시
SZ920B0843,Mtc Customer Test 003,Tianjin
SZ920B0844,Shipto Test_22,서울특별시
SK400A4101,Milan_1907,Walbrzych
SZ310C2502,Cs Sub Vendor 03,City
SZ437A1001,[Mnc] Ningbo Plant,Ningbo
SZ440C7901,Gm_Mexico_As,Industrial Toluca
SZ441A5001,Mce_Gm,Ellesmere Port
SZ920B0819,Sold To 생성 0523_1_1,경기도 성남시
SK400A4102,Ford_Think_De,Detroit Mi  Usa
SZ920B0820,Sold-To Test Customer,제주특별자치도 제주시
SZ330A0902,Hyundae Polytech Mexico S. De R.L.,Www
SZ920B0821,Majab33,Walbrzych
SZ920B0822,Hyundai Motor Ulsan 1St Plant,울산광역시
SK400A4107,Ford_Australia_De,Australia
SZ330A0904,Gm_Cis_De,Moscow Russia
SZ920B0825,드림텍,아산시
SK400A4108,Gm_Navistar_Oem,Springfield  United States
SZ920B0826,롯데정보통신 Shipto,서울특별시
GM404N5000,Mck_Hm금속,City
GM406N5000,Gm_Spring Hill_Oem,Tn  United States
GM406N5200,Cs Sub Vendor24,City
SH400A2801,"Hankuk Rotec Co., Ltd.",부산광역시
SZ310C2801,Ford_India_De,Tn In
SZ433A4701,Pakt Sp. Z O.O.,Walbrzych
SZ434A3501,[Mga] Georgia Steering Plant,Georgia
SZ442C6701,Zyrafa10,Walbrzych
SZ433A4702,Test_Customer,Pangyo
SZ920C2802,Bmw(Eur)_De,Muenchen Germany
SH400A2901,Sri Jayalakshmi Industries-Chennai,Chennai
SZ433A6301,삼성생명보험,서울특별시
SZ442C6702,Gm_Colombia(Krw)_De,Bogota Dc Sur America Colombia
SZ920C2901,Mdc0010,Suzhou
SZ920C2902,중국은행,서울특별시
SK210C4602,Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
SK22001403,Gm_Brazil_As,Sorocaba Sao Paulo Brazil
SK230C1308,Mcm_Gm1,Saltillo
SK260C1206,태성포리텍,익산시
SK283A1601,Bmw Ag Wallersdorf_As,Wallesdorf
SK28400201,Kia Hwaseong Ckd,Hwaseong-Si
SZ20103339,하이투자증권 법인영업부지점,서울특별시
SZ405A1101,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
SK210C4603,X164910,City
SK22001405,Hyundai Motor Company,울산광역시
SK230C1309,Hmc_환경기술연구소_Oem,104-7
SK210C4601,[Mcp] Walbrzych Plant,Poland
SK230C1307,Gm_Dortec_Oem,Concord Canada
SZ510A0104,Hyundai Motor Beijing Bill-To(Payer,Beijing
SK210C4604,Gm_Ellesmere Port_Oem,Chesire
BC302A3000,Sc_Bpc01,City
BC360A1900,Fdfd,경기도 성남시
BC38002300,Fi Customer Test,서울특별시
BC44000900,Asd,서울특별시
BC470A8501,Gm_Dropship Kyb Android Euro_Oem,Shreveport United States
BC500B5500,Ford Espania Sl_Oem,Valencia Hiszpania
BC540B5500,Ford_Master_As,Illionis
BC59001500,미래에셋증권,서울특별시
BC631A4900,Ford Werke Gmbh (Usd)_As,Koeln
BC12032800Z1,Int 주소 미생성 확인 테스트,경기도 성남시
BC30210600,Mcm_Gm1,Saltillo
BC36005000,Test Fi Customer Msb,경기도 성남시
BC38003900,한라정공,인천광역시
BC41029401,Cho_Customer_02,Frankfurt
BC47021100,Gm_As_,Memphis Tn
BC50066400,미즈호은행,서울특별시
BC54066400,Mga_Hmma,Test
BC12033003,한화생명보험,서울특별시
BC41029403,영완,시흥시
BC41029406,국민은행 대기업금융센터,서울특별시
BC12033004,Gm_Ellesmere Port_Oem,Chesire
BC41029407,Chana_De,Chongqing China
BC12033005,Sh Electonics India Pvt Ltd-Plant I,Chennai
BC41029405,Ccangtong,서울특별시
BC12132800Z1,미쓰이스미토모은행 서울지점,서울특별시
BC12132900Z1,Gm_Saic Usa,Birmingham Mi
BC12133001,Mando Corporation Pyeongtaek,Pyeongtaek-Si Gyenggi-Do Korea
BC41129401,Mcm_Gmtest,Ramos Arizpe Coah
BC12133003,Bst Rods S.A.,Lagazpi-Gipuzkoa
BC12133000,동성정밀엘엑스,원주시
BC41129406,Customer_Dorota,Walbrzych
BC12133004,Mck_주식회사 일신캐스팅,City
BC41129407,Gm Russian_Russian_De,Saint-Petersburg Russian Federatio
BC12133005,Test08 Test,Test
GP250B2600,Ford_As,Mi Oakland  Usa
GP250B2700,[Mcp] Mando Poland,Walbrzych
GP27506600,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
GP277A1800,Alpina Burkard Bovensiepen,Buchloe
GP373B2400,케이에이씨,원주시
GR205B2300,Gm_Spring Hill_Oem,Tn  United States
GR205B2350,Halla Holdings,서울특별시
GZ811B6001,Mcp_Atlantic Integrated Freight Gmb,Germany
GP373B2500,조이테크,천안시
GR205B2400,[Mga] Georgia Casting Plant,Georgia
